model,cv_mse_mean,cv_mse_std,best_iteration_mean
blend,74.405455,2.828929,0.0
catboost_full,76.302545,2.688119,1133.27
catboost_full_w,77.782137,2.977582,1015.93
e5_ridge,140.158319,2.242015,0.0
histgbr_full,78.093989,2.719122,533.13
lgbm_full,77.033677,2.730661,441.6
lgbm_full_h,76.254679,2.738015,966.8
lgbm_full_ht,75.780376,2.731582,1356.13
lgbm_full_w,78.307989,2.956506,446.07
lgbm_num,81.702394,2.933211,399.4
lgbm_num_h,81.053008,2.851597,954.4
mm,83.298131,2.751611,0.0
txt_svd_gbdt,160.458712,2.947404,425.2
