model,unweighted_cv,rw_primer,iwcv_a0.1,iwcv_a0.2,iwcv_a0.3,iwcv_a0.5
blend,75.7524,85.4945,84.1537,83.349,82.5104,80.7269
blend_p100,75.6597,85.2959,84.0124,83.2151,82.3843,80.6172
catboost_full,76.3025,86.4149,85.0261,84.1903,83.3194,81.4664
catboost_full_w,77.7821,87.3028,85.9487,85.1597,84.3378,82.5897
histgbr_full,78.094,88.54,87.1522,86.2901,85.3922,83.4826
lgbm_full,77.0337,87.2663,85.8594,85.0172,84.1401,82.2746
lgbm_full_w,78.308,88.0157,86.6368,85.8343,84.9984,83.2207
lgbm_num,81.7024,92.8154,91.0978,90.1903,89.2448,87.2336
txt_rich,143.6218,162.2723,159.7018,158.1692,156.5709,153.1618
txt_ridge,147.4851,168.0179,164.9103,163.2477,161.5123,157.8075
txt_ridge_wc,144.0973,163.8858,161.0372,159.42,157.7326,154.1314
txt_svd_gbdt,160.4587,182.6582,179.0845,177.2973,175.4299,171.4381
