subset,k,combiner,nested_rw
top5,5,power:-2.0,83.927173
top5,5,power:-1.0,83.943741
top5,5,power:-0.5,83.952114
top5,5,geo,83.960532
top5,5,power:0.0,83.960532
top5,5,power:0.5,83.968986
top5,5,power:1.0,83.977466
top5,5,power:1.5,83.985962
top5,5,power:2.0,83.994467
top5,5,power:3.0,84.011471
top7,7,power:-2.0,84.501188
top7,7,power:-1.0,84.516615
top7,7,power:-0.5,84.524272
top7,7,power:0.0,84.531884
top7,7,geo,84.531884
top7,7,power:0.5,84.539443
top7,7,power:1.0,84.546946
top7,7,power:1.5,84.554387
top7,7,power:2.0,84.561761
top7,7,power:3.0,84.576296
top10,10,power:-2.0,84.845273
top10,10,power:-1.0,84.852853
top10,10,power:-0.5,84.857231
top10,10,power:0.0,84.861982
top10,10,geo,84.861982
top10,10,power:0.5,84.86709
top10,10,power:1.0,84.872542
top10,10,power:1.5,84.878322
top10,10,power:2.0,84.884416
top10,10,power:3.0,84.897492
top5,5,trim:1,84.945059
strong7,7,median,85.021281
strong7,7,trim:2,85.051751
top10,10,trim:1,85.15356
top5,5,median,85.174938
top5,5,trim:2,85.174938
top10,10,trim:2,85.230342
top7,7,trim:1,85.237345
top7,7,trim:2,85.271553
top7,7,median,85.437752
top10,10,median,85.511817
full14,14,median,85.752501
full14,14,trim:2,85.826403
gbdt,9,trim:1,85.837739
gbdt,9,power:-2.0,85.861908
gbdt,9,power:-1.0,85.863059
gbdt,9,power:-0.5,85.864239
gbdt,9,geo,85.865809
gbdt,9,power:0.0,85.865809
gbdt,9,power:0.5,85.867762
gbdt,9,power:1.0,85.870086
gbdt,9,power:1.5,85.872772
gbdt,9,power:2.0,85.87581
gbdt,9,power:3.0,85.8829
gbdt,9,trim:2,85.958406
gbdt,9,median,86.1298
gbdt+text,12,median,86.415572
full14,14,trim:1,86.620475
strong7,7,trim:1,86.669699
gbdt+text,12,trim:2,86.937544
full14,14,rank_qmap,87.236839
full14,14,power:-2.0,87.541937
full14,14,power:-1.0,87.545135
full14,14,power:-0.5,87.573975
full14,14,power:0.0,87.62201
full14,14,geo,87.62201
full14,14,power:0.5,87.690099
full14,14,power:1.0,87.779154
neural3,3,trim:1,87.82189
neural3,3,trim:2,87.82189
neural3,3,median,87.82189
full14,14,power:1.5,87.890111
gbdt+text,12,trim:1,88.002206
full14,14,power:2.0,88.02389
full14,14,power:3.0,88.363188
strong7,7,power:-2.0,88.65176
strong7,7,power:-1.0,88.674037
strong7,7,power:-0.5,88.717984
gbdt+text,12,rank_qmap,88.778084
strong7,7,geo,88.784869
strong7,7,power:0.0,88.784869
strong7,7,power:0.5,88.875398
strong7,7,power:1.0,88.99017
strong7,7,power:1.5,89.129637
gbdt+text,12,power:-2.0,89.283601
gbdt+text,12,power:-1.0,89.285138
strong7,7,power:2.0,89.29406
gbdt+text,12,power:-0.5,89.317614
gbdt+text,12,geo,89.372488
gbdt+text,12,power:0.0,89.372488
strong7,7,rank_qmap,89.405471
gbdt+text,12,power:0.5,89.45074
gbdt+text,12,power:1.0,89.553342
gbdt+text,12,power:1.5,89.681213
strong7,7,power:3.0,89.697654
gbdt+text,12,power:2.0,89.835173
gbdt+text,12,power:3.0,90.223753
neural3,3,power:-2.0,91.011438
neural3,3,power:-1.0,91.076358
neural3,3,power:-0.5,91.14003
neural3,3,geo,91.225765
neural3,3,power:0.0,91.225765
neural3,3,power:0.5,91.334273
neural3,3,power:1.0,91.466024
neural3,3,power:1.5,91.621193
neural3,3,power:2.0,91.799624
neural3,3,power:3.0,92.223872
top5,5,rank_qmap,92.310402
top10,10,rank_qmap,92.509664
top7,7,rank_qmap,92.877788
gbdt,9,rank_qmap,93.825219
neural3,3,rank_qmap,94.1137
