variant,nested_rw,insample_rw_DIAG,overfit_gap_DIAG
lgbm_nl8_ne150_lr0.03_mc100_l210.0_l11.0_ss0.8_cs0.8_yr,83.0523,77.8977,-5.1546
lgbm_nl3_ne200_lr0.03_mc200_l220.0_l12.0_ss0.7_cs0.7,83.0598,80.3291,-2.7307
lgbm_nl4_ne150_lr0.03_mc100_l210.0_l11.0_ss0.8_cs0.8,83.0763,80.0176,-3.0587
lgbm_nl8_ne150_lr0.03_mc100_l210.0_l11.0_ss0.8_cs0.8,83.0776,78.1247,-4.9529
rf_md5_ml100_ne500_mf0.7_yr,83.0842,79.1412,-3.943
rf_md5_ml100_ne500_mf0.7,83.1105,79.1536,-3.9569
lgbm_nl8_ne100_lr0.05_mc80_l25.0_l10.5_ss0.9_cs0.9_yr,83.1157,77.1638,-5.9519
lgbm_nl3_ne200_lr0.03_mc200_l220.0_l12.0_ss0.7_cs0.7_yr,83.1286,80.2875,-2.8411
lgbm_nl4_ne150_lr0.03_mc100_l210.0_l11.0_ss0.8_cs0.8_yr,83.1372,80.044,-3.0932
lgbm_nl6_ne120_lr0.05_mc120_l215.0_l11.0_ss0.8_cs0.7_yr,83.149,78.2786,-4.8704
lgbm_nl8_ne100_lr0.05_mc80_l25.0_l10.5_ss0.9_cs0.9,83.182,77.2585,-5.9235
lgbm_nl4_ne200_lr0.02_mc150_l220.0_l12.0_ss0.7_cs0.7,83.201,80.5606,-2.6404
lgbm_nl8_ne200_lr0.02_mc200_l230.0_l15.0_ss0.7_cs0.6_yr,83.2028,79.1945,-4.0082
lgbm_nl6_ne120_lr0.05_mc120_l215.0_l11.0_ss0.8_cs0.7,83.2329,78.3986,-4.8343
lgbm_nl8_ne200_lr0.02_mc200_l230.0_l15.0_ss0.7_cs0.6,83.2517,79.3153,-3.9364
lgbm_nl4_ne200_lr0.02_mc150_l220.0_l12.0_ss0.7_cs0.7_yr,83.2765,80.5133,-2.7633
rf_md4_ml150_ne400_mf0.7_yr,83.2981,80.4542,-2.8439
rf_md4_ml150_ne400_mf0.7,83.3025,80.4756,-2.8269
knn_k100_distance,83.5791,0.0,-83.5791
knn_k100_uniform,83.6274,81.9967,-1.6308
rf_md5_ml200_ne500_mf0.5,83.6403,80.4815,-3.1587
knn_k200_distance,83.656,0.0,-83.656
knn_k100_distance_yr,83.6746,0.0,-83.6746
rf_md5_ml200_ne500_mf0.5_yr,83.6821,80.5185,-3.1636
knn_k100_uniform_yr,83.7309,82.1743,-1.5565
knn_k200_distance_yr,83.8265,0.0,-83.8265
knn_k300_distance_yr,83.9467,0.0,-83.9467
knn_k300_distance,83.9989,0.0,-83.9989
knn_k50_distance,84.1956,0.0,-84.1956
knn_k50_distance_yr,84.1987,0.0,-84.1987
rf_md3_ml200_ne400_mf1.0_yr,84.2273,81.9846,-2.2427
rf_md3_ml200_ne400_mf1.0,84.2273,81.9846,-2.2427
knn_k500_distance_yr,84.5127,0.0,-84.5127
knn_k500_distance,84.5989,0.0,-84.5989
rf_md4_ml300_ne400_mfsqrt_yr,84.8498,82.5996,-2.2501
rf_md4_ml300_ne400_mfsqrt,84.8721,82.611,-2.2611
